station_id,device_network,organisation_name,on_street,location_type,post_code,latitude,longitude,Connector,Connector_Type,Connector_KW,Connector_Type_List,Connector_Type_Merged_KW,Charger_Category
e9947b970456f26dd9fe5f427ded41fa,Charge Your Car,Charge Your Car,False,Other,NE33 1AP,54.996343,-1.434204,Single Phase AC,3-pin Type G (BS1363),3.0,['3-pin Type G (BS1363)'],['3-pin Type G (BS1363) 3.0'],Slow
a67ff68fb34113ac300af9dde46b8aec,Charge Your Car,Charge Your Car,False,Other,NE33 1AP,54.996443,-1.434304,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
75b3ce485b8e53892347e39b6b00ee89,Charge Your Car,Charge Your Car,False,Other,NE10 0EF,54.960724,-1.581308,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
4a55dbdc6c16615070050599ef141d44,Charge Your Car,Charge Your Car,False,Other,NE48 2BS,55.143994,-2.252662,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
9c502490400407d66aff75b9fff0be36,Charge Your Car,Charge Your Car,False,Other,NE30 2HA,55.032668,-1.519664,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
9ff6b4c1124dfb0ddeffd72781d88aa6,Charge Your Car,Charge Your Car,False,Other,NE13 8DF,55.028155,-1.703485,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
8c3af53f6554ac306d481a872a47fb83,Charge Your Car,Charge Your Car,True,Other,NE46 1QE,54.971113,-2.097504,"Single Phase AC, Single Phase AC","Type 2 Mennekes (IEC62196), Type 2 Mennekes (IEC62196)","7.0, 7.0","['Type 2 Mennekes (IEC62196)', 'Type 2 Mennekes (IEC62196)']","['Type 2 Mennekes (IEC62196) 7.0', 'Type 2 Mennekes (IEC62196) 7.0']",Fast
aadeccf20333fe8cb7946318389d4555,Charge Your Car,Charge Your Car,True,Other,NE20 9PZ,55.0508,-1.744099,"Single Phase AC, Single Phase AC","Type 2 Mennekes (IEC62196), Type 2 Mennekes (IEC62196)","7.0, 7.0","['Type 2 Mennekes (IEC62196)', 'Type 2 Mennekes (IEC62196)']","['Type 2 Mennekes (IEC62196) 7.0', 'Type 2 Mennekes (IEC62196) 7.0']",Fast
8f51d048845867380207217d2b5c3156,Charge Your Car,Charge Your Car,True,Other,NE20 9PZ,55.0507,-1.743999,"Single Phase AC, Single Phase AC","Type 2 Mennekes (IEC62196), Type 2 Mennekes (IEC62196)","7.0, 7.0","['Type 2 Mennekes (IEC62196)', 'Type 2 Mennekes (IEC62196)']","['Type 2 Mennekes (IEC62196) 7.0', 'Type 2 Mennekes (IEC62196) 7.0']",Fast
c13aa14c57d4ad455bc0694eb98ea14b,Charge Your Car,Charge Your Car,True,Other,NE24 2EF,55.109332,-1.500185,"Single Phase AC, Single Phase AC","Type 2 Mennekes (IEC62196), Type 2 Mennekes (IEC62196)","7.0, 7.0","['Type 2 Mennekes (IEC62196)', 'Type 2 Mennekes (IEC62196)']","['Type 2 Mennekes (IEC62196) 7.0', 'Type 2 Mennekes (IEC62196) 7.0']",Fast
dc7e93f32b3083f13ad7fe95f4966d93,Charge Your Car,Charge Your Car,True,Other,NE24 2EF,55.109232,-1.500185,"Single Phase AC, Single Phase AC","Type 2 Mennekes (IEC62196), Type 2 Mennekes (IEC62196)","7.0, 7.0","['Type 2 Mennekes (IEC62196)', 'Type 2 Mennekes (IEC62196)']","['Type 2 Mennekes (IEC62196) 7.0', 'Type 2 Mennekes (IEC62196) 7.0']",Fast
f29c0f1c5f3cc955ceed26b4a4d6e1d9,Charge Your Car,Charge Your Car,True,Other,NE24 2EF,55.109132,-1.500185,"Single Phase AC, Single Phase AC","Type 2 Mennekes (IEC62196), Type 2 Mennekes (IEC62196)","7.0, 7.0","['Type 2 Mennekes (IEC62196)', 'Type 2 Mennekes (IEC62196)']","['Type 2 Mennekes (IEC62196) 7.0', 'Type 2 Mennekes (IEC62196) 7.0']",Fast
74031546be2db65f0705bea4b1c0654b,Charge Your Car,Charge Your Car,False,Other,NE61 6JN,55.162623,-1.67997,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
961fbfb28115cd7e4197ae1441c67a6f,Charge Your Car,Charge Your Car,False,Other,NE61 6JN,55.162723,-1.67997,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
e1d351219a44905eb5f80749d63ce379,Charge Your Car,Charge Your Car,False,Other,NE18 0LL,55.008157,-1.927307,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
a697ab0dcf803186970e7bb5ed0909fb,Charge Your Car,Charge Your Car,False,Other,NE18 0LL,55.008157,-1.927207,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
251b4805008712ec04e69c6569bfb189,Charge Your Car,Charge Your Car,False,Other,NE46 3HN,54.97516,-2.105351,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
b16a9e8de58c95b427b29472b1eca130,Charge Your Car,Charge Your Car,False,Other,NE46 3HN,54.975316,-2.105351,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
bab5a177611b396bd0a930cafb6b1c54,Charge Your Car,Charge Your Car,False,Other,NE46 3HN,54.974522,-2.104816,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
33aaa7974a0a973e068c3c035e52d105,Charge Your Car,Charge Your Car,False,Other,NE46 3HN,54.974622,-2.104816,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
635b616c7d29a7c2a118dc59a578d053,Charge Your Car,Charge Your Car,True,Other,NE32 3DY,54.982257,-1.474649,"Single Phase AC, Single Phase AC","Type 2 Mennekes (IEC62196), Type 2 Mennekes (IEC62196)","7.0, 7.0","['Type 2 Mennekes (IEC62196)', 'Type 2 Mennekes (IEC62196)']","['Type 2 Mennekes (IEC62196) 7.0', 'Type 2 Mennekes (IEC62196) 7.0']",Fast
555fd43204fd3f2413706c2d6cc8ee0a,Charge Your Car,Charge Your Car,False,Other,NE12,55.010467,-1.578532,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
d46df85d4497780af548c8c4a9e11270,Charge Your Car,Charge Your Car,False,Other,NE12,55.010367,-1.578532,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
c1474f1081f34c3e501e95ac5e9627e9,Charge Your Car,Charge Your Car,False,Other,NE1 4DP,54.969332,-1.622436,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
91caf8baf768a5cc1a69f73a26e173dd,Charge Your Car,Charge Your Car,False,Other,NE1 4DP,54.969232,-1.622436,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
9c3cfdc8a01e0b6d22a4cec0ab80440a,Charge Your Car,Charge Your Car,False,Other,NE1 4DP,54.969132,-1.622436,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
542b9ce5413bbceea136fecb513df4c3,Charge Your Car,Charge Your Car,False,Other,NE1 4DP,54.969032,-1.622436,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
1fc3f4cac90772f868f9945a5d6a7a7a,Charge Your Car,Charge Your Car,False,Other,NE1 4DP,54.968932,-1.622436,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
89db6efaa2613d91fc745b3d50d2bf1a,Charge Your Car,Charge Your Car,False,Other,NE1 4DP,54.968832,-1.622436,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
